و دولت است؛ ایجاد یک روابط عادلانه که این هم حمایت از کارگران است؛ و این البتّه جزو ,"میان کارگر، کارفرما و دولت  یک حمایت دیگر به طور کلّی ایجاد روابط منطقی و عادلانه میان کارگر و "
"که زمینه‌ی گسترش کار و اعتلای کیفیّت کار را فراهم میکنند، تا آحاد کارگران ما - کارگران تحصیل‌","الله علیه) میفرمودند: پیغمبران هم کارگر بودند؛ همین‌جور است. در مجموعه‌ی شما هم مدیرانتان، فعّالانتان، برنامه‌ریزهایتان، "
"و مدیران شایسته‌ی اقتصادی بودند؛ رزمندگانش هم کارگران بودند؛ کارگران، رزمندگان بااخلاص و باصفای این میدان بودند. همه‌","کشور بحمدالله پابرجا است، زنده است. آن لشکری که در مقابل دشمن ایستاد، شماها بودید؛ افسران این دفاع مقدّس، "
"فعّالان، مبتکران! خیلی خوش آمدید. از بیاناتی که دوستان در اینجا کردند، واقعاً خیلی بهره بردیم؛ روحیه‌ها ","المصطفی محمّد و علی آله الاطیبین الاطهرین المنتجبین سیّما بقیّة الله فی الارضین. برادران عزیز، خواهران عزیز، "
"مبتکران، صاحبان مهارت، صاحبان سرمایه، نیروهای متراکم و بی‌پایانی که در این کشور وجود دارد، که واقعاً این ","عمل نشد. ما بایست به مردم تکیه کنیم، بها بدهیم؛ مردم با امکاناتشان باید بیایند در وسط میدان اقتصادی؛ فعالان، "
"است، هم مال کارگر است؛ مشکل بیمه، مشکل کمبود امکانات، مشکل نقدینگی، مشکل موانع مالیاتی، مشکل از ناحیه‌ی ","حمایت کنند، هم دولت باید حمایت کند؛ همه باید حمایت کنند.  مشکلاتی را مطرح میکردند که این مشکلات، هم مال "
"مان، محقّقینمان مشاهده کنم، واقعاً هیچ تعجّبی نمیکنم. برای من روشن است که استعداد کشور خیلی بالا ","الیّتها کاملاً محسوس. البتّه من تعجّب نمیکنم؛ اگر چنانچه برجستگی‌ای در بین جوانانمان، مردممان، کارفرمایان‌مان، "
برجسته. قاضی برجسته را چهره کنید تا تشویق بشوند یک عدّه‌ای به این سبک کار؛ خب همه ,"نتیجه رسانده، مشخّص کنید، معرّفی کنید؛ مثل معلّمین برجسته، مثل اساتید برجسته، مثل محقّقین برجسته، مثل "
"سرمایه‌گذار، کارگر ماهر و دیگران این است که جنس خارجی می‌آید، غالباً هم با کیفیّت پایین ",و گِله‌ی خیلی از این مسئولان و کسانی که در زمینه‌ی مسائل کالای ایرانی فعّالند [مثل] 
"و فعّال میشود کرد، این است که بتوانیم برای محصول او بازار فراهم کنیم ــ چه بازار خارجی، ",دولت این است که از این مدیران فعّال و خوب حمایت بشود. بهترین حمایتی هم که از یک مدیر 
"در میدان کار و تلاش فردی و جمعی، در میدان شبکه‌سازی‌های اجتماعی و فرهنگی، در میدان حرکتهای ","جوانهای عزیز هم ان‌شاءالله در میدان علم، در میدان فعّالیّت، در میدان تحرّک اقتصادی، در میدان "
"مسئول است؛ همه در حدّی مسئولیّت دارند. اگر مسئولیّتها انجام بگیرد، کار، درست انجام خواهد شد.  ","تحقّق پیدا کند. بنابراین همه مسئولند؛ هم دولت مسئول است، هم کارفرما مسئول است، هم کارگر مسئول است، هم "
"اقتصادی آمدند با ما ملاقات کردند و صحبتهایی کردند؛(۹) انسان وقتی به حرفهای اینها گوش میکند، [میبیند] توانایی‌هایی ","و این حرفهایی که همیشه زده میشود، باید عملیّاتی بشود. چند ماه قبل بود که یک گروهی از همین "
به عرصه های اقتصادی به ویژه اقتصاد دانش بنیان و کاهش هزینه های کسب و کار با تاکید بر ,"نظام یکپارچه مالیات ‌ستانی، تأمین اجتماعی و ارائه تسهیلات مالی  با بهره ‌گیری از سامانه جامع اطلاعاتی ملی ۲۲- تسهیل ورود "
"جلوی پای کسی که میخواهد خدمت بکند؛ کارهای لازم اینها است، [مسئولین] دامن همّت به کمر بزنند و ","را تعیین میکنند، بیایند راه‌ها را کوتاه کنند؛ راه‌های میان‌بُر بگذارند جلوی پای مردم، جلوی پای "
هم مهم است؛ او هم باید باشد تا کارگر بتواند کار کند. کارگر و کارآفرین دو همکارند در خطّ ,"انکارناکردنی و‌ غیر قابل انکار است، نقش مهمّی دارد. اگر بخواهیم درست عرض بکنیم، میگوییم [نقش] کارگر و کارآفرین. "
"مسئولان دولتی ذی‌ربط، عید همه‌ی شما ان‌شاءالله مبارک باشد. میلاد مسعود سیّدالشّهداء (سلام‌الله‌","ما بقیّةالله فی الارضین.  خیلی خوش‌آمدید برادران عزیز، خواهران عزیز، مجموعه‌ی مرتبط با کار، کارگران، نخبگان کارگری، "
"کند؛ بخش خصوصی میتواند. در سال ۱۴۰۱، در بهمن ماه گذشته، عدّه‌ای از فنّاوران مهمّ کشور با ","د در اقتصاد ترغیب کنند و آنها را هدایت کنند؛ برای بخش خصوصی اعتماد ایجاد کنند که سرمایه‌گذاری کند، "
"ها، دامدار، عالِم دینی، همه‌ی اینها میتوانند کار کنند؛ هر کدام یک جور. [مثلاً] عالِم دینی؛ ","دانشجو میتواند کار کند، استاد میتواند کار کند، کارگر میتواند کار کند، کاسب میتواند کار کند، کشاورز میتواند تلاش کند؛ "
و سرمایه‌گذار را بی‌حوصله میکند که اصلاً دیگر حوصله‌اش سر میرود و آماده نیست کاری بکند. ,که بحث قدیمی‌ای است که دیگر حالا نمیخواهم تکرار بکنم. بعضی اوقات دیوان‌سالاری آن قدر شدید میشود که 
"مسئله‌ی اشتغال، مسئله‌ی پیشرفت دانش و پیشرفت اقتصادی کشور و تولید کشور، یک امر محسوسی است؛ بلاشک، ","صحبت کردند، ــ چند نفر که صحبت کردند ــ همه همین امید را، همین نوید را دادند که مسئله‌ی "
"است، تولیدآفرین است و خودش تولید [را رونق میدهد]. الان ما نیاز داریم به مسکن در مناطق سیل زده -",را به کار می‌اندازد؛ خود تولید مسکن صنایع زیادی را به خدمت میگیرد و به کار می‌اندازد؛ یعنی 
"جوان را نشان میدهند که آدم واقعاً لذّت میبرد، حظ میکند که این آمده وارد شده در یک ","بسیاری هستند آماده، تحصیل‌کرده، باسواد که میتوانند کارهایی انجام بدهند. گاهی می‌شنوید یا در تلویزیون می‌آیند یک "
